Item_id,Item_title,Sponsored,Vendor,Alt_title,Promoted,Best Price,Parameters,General,EAN,Price,Currency,Has Variants,Variants,Rating,Count,Smart,Sellers Count,Total Units Sold,Total Sales Value,Item URL,Seller ID,Seller Name,Seller Url,Seller Rating,Super S
14281937887,Czajnik elektryczny Amica KF 4012 2200 W czarny,True,allegro,Czajnik elektryczny Amica KF 4012 2200 W czarny,False,True,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Pojemność', 'values': ['1.5 l'], 'highlight': False}, {'name': 'Szerokość produktu', 'values': ['22.7 cm'], 'highlight': False}, {'name': 'Wysokość produktu', 'values': ['23.6 cm'], 'highlight': False}, {'name': 'Obrotowa podstawa', 'values': ['tak'], 'highlight': False}]","[{'name': 'Pojemność', 'values': ['1.5 l'], 'highlight': False}, {'name': 'Szerokość produktu', 'values': ['22.7 cm'], 'highlight': False}, {'name': 'Wysokość produktu', 'values': ['23.6 cm'], 'highlight': False}, {'name': 'Obrotowa podstawa', 'values': ['tak'], 'highlight': False}]",5906006940263,149.00,PLN,x,,4.73,41,True,6,39,5811.0,https://allegro.pl/oferta/14281937887,91445913,Oficjalny sklep Amica,https://allegro.pl/uzytkownik/SmA_Amica,98.6,False
14086844660,Czajnik elektryczny Camry CR1300 2200 W czarny,True,allegro,Czajnik elektryczny Camry CR1300 2200 W czarny,True,True,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Pojemność', 'values': ['1.7 l'], 'highlight': False}, {'name': 'Szerokość produktu', 'values': ['21 cm'], 'highlight': False}, {'name': 'Wysokość produktu', 'values': ['25 cm'], 'highlight': False}, {'name': 'Obrotowa podstawa', 'values': ['tak'], 'highlight': False}]","[{'name': 'Pojemność', 'values': ['1.7 l'], 'highlight': False}, {'name': 'Szerokość produktu', 'values': ['21 cm'], 'highlight': False}, {'name': 'Wysokość produktu', 'values': ['25 cm'], 'highlight': False}, {'name': 'Obrotowa podstawa', 'values': ['tak'], 'highlight': False}]",N/A,66.99,PLN,x,,4.97,29,True,115,58,3885.4199999999996,https://allegro.pl/oferta/14086844660,112260673,Oficjalny sklep Camry,https://allegro.pl/uzytkownik/Sklep_Camry,99.9,True
10581645596,Odkamieniacz w płynie do ekspresów SCANPART odkamieniacz 1litr 1 l,False,allegro,Odkamieniacz w płynie do ekspresów SCANPART odkamieniacz 1litr 1 l,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Postać', 'values': ['płyn'], 'highlight': False}, {'name': 'Przeznaczenie', 'values': ['do ekspresów'], 'highlight': False}]","[{'name': 'Postać', 'values': ['płyn'], 'highlight': False}, {'name': 'Przeznaczenie', 'values': ['do ekspresów'], 'highlight': False}]",N/A,28.90,PLN,x,,4.93,16357,True,115,1586,45835.399999999994,https://allegro.pl/oferta/10581645596,46629273,esiteo_pl,https://allegro.pl/uzytkownik/esiteo_pl,99.3,True
14980878595,Pasta do renowacji reflektorów K2 L3050 + 5 innych produktów,False,allegro,Pasta do renowacji reflektorów K2 L3050 + 5 innych produktów,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Producent', 'values': ['K2'], 'highlight': False}]","[{'name': 'Producent', 'values': ['K2'], 'highlight': False}]",548999660135599,199.90,PLN,x,,N/A,0,True,523,0,0.0,https://allegro.pl/oferta/14980878595,37528866,autoactive_pl,https://allegro.pl/uzytkownik/autoactive_pl,98,False
11828895489,Krążek Melitta 1l czyszczenie czajników i ekspresów,False,allegro,Krążek Melitta 1l czyszczenie czajników i ekspresów,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}]","[{'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}]",4006508178599,14.90,PLN,x,,4.96,4255,True,47,909,13544.1,https://allegro.pl/oferta/11828895489,38084736,PlanetaAgd_pl,https://allegro.pl/uzytkownik/PlanetaAgd_pl,98.8,False
11829027061,5× Krążek Melitta 1l czyszczenie czajników i ekspresów,False,allegro,5× Krążek Melitta 1l czyszczenie czajników i ekspresów,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}]","[{'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}]",4006508178599,71.59,PLN,x,,4.96,4255,True,47,909,65075.310000000005,https://allegro.pl/oferta/11829027061,38084736,PlanetaAgd_pl,https://allegro.pl/uzytkownik/PlanetaAgd_pl,98.8,False
12826688872,Tabletki czyszczące do czajników i ekspresów Jura 62715 6 szt.,False,allegro,Tabletki czyszczące do czajników i ekspresów Jura 62715 6 szt.,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}, {'name': 'Postać', 'values': ['tabletki'], 'highlight': False}]","[{'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}, {'name': 'Postać', 'values': ['tabletki'], 'highlight': False}]",N/A,45.00,PLN,x,,4.97,5052,True,46,878,39510.0,https://allegro.pl/oferta/12826688872,79992508,AgdTech,https://allegro.pl/uzytkownik/AgdTech,99.8,True
10971604426,Tabletki czyszczące do czajników i ekspresów Jura 62715 6 szt. + Odkamieniacz w tabletkach do ekspresów Jura Tabletki odkamieniające,False,allegro,Tabletki czyszczące do czajników i ekspresów Jura 62715 6 szt. + Odkamieniacz w tabletkach do ekspresów Jura Tabletki odkamieniające,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}, {'name': 'Postać', 'values': ['tabletki'], 'highlight': False}]","[{'name': 'Rodzaj', 'values': ['środek czyszczący'], 'highlight': False}, {'name': 'Postać', 'values': ['tabletki'], 'highlight': False}]",5701758031388,113.99,PLN,x,,N/A,0,True,46,0,0.0,https://allegro.pl/oferta/10971604426,38084736,PlanetaAgd_pl,https://allegro.pl/uzytkownik/PlanetaAgd_pl,98.8,False
13990130625,MELITTA płyn odkamieniający do odkamieniania BIO,False,allegro,MELITTA płyn odkamieniający do odkamieniania BIO,True,False,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Postać', 'values': ['płyn'], 'highlight': False}, {'name': 'Przeznaczenie', 'values': ['do ekspresów'], 'highlight': False}]","[{'name': 'Postać', 'values': ['płyn'], 'highlight': False}, {'name': 'Przeznaczenie', 'values': ['do ekspresów'], 'highlight': False}]",N/A,20.50,PLN,x,,4.95,4080,True,61,819,16789.5,https://allegro.pl/oferta/13990130625,111841105,Juz_Wysylam_pl,https://allegro.pl/uzytkownik/Juz_Wysylam_pl,99.7,True
9672822667,Czajnik elektryczny Tefal Loft 2400 W czarny,True,allegro,Czajnik elektryczny Tefal Loft 2400 W czarny,True,True,"[{'name': 'Stan', 'values': ['Nowy'], 'highlight': False}, {'name': 'Pojemność', 'values': ['1.7 l'], 'highlight': False}, {'name': 'Szerokość produktu', 'values': ['22 cm'], 'highlight': False}, {'name': 'Wysokość produktu', 'values': ['24.5 cm'], 'highlight': False}, {'name': 'Obrotowa podstawa', 'values': ['tak'], 'highlight': False}]","[{'name': 'Pojemność', 'values': ['1.7 l'], 'highlight': False}, {'name': 'Szerokość produktu', 'values': ['22 cm'], 'highlight': False}, {'name': 'Wysokość produktu', 'values': ['24.5 cm'], 'highlight': False}, {'name': 'Obrotowa podstawa', 'values': ['tak'], 'highlight': False}]",3045386380268,159.00,PLN,x,,4.90,3254,True,71,354,56286.0,https://allegro.pl/oferta/9672822667,89155236,Oficjalny sklep TEFAL,https://allegro.pl/uzytkownik/Tefal_Polska,99,False
